DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
3,22XX FERGUSON RD,39.1258773785438,-84.601832602596,WEST PRICE HILL,3074,159015811,1,"CINC, OH 45202",BLACK,MALE,45,NONFATAL,06/20/2015 12:00:00 AM,JUN,105000,10,SAT,159015811,06/20/2015 10:50:00 AM,DISTRICT 3,45238
1,4XX E THIRTEENTH ST,39.1108541144306,-84.5083292874868,PENDLETON,587,10902385,3,,BLACK,FEMALE,19,FATAL,06/02/2009 12:00:00 AM,JUN,,N/A,TUE,10902385,06/02/2009 12:00:00 AM,DISTRICT 1,45202
3,24XX HARRISON AV,39.1401483884037,-84.5796163281343,WESTWOOD,1472,31105661,1,"CINC, OH 45211",WHITE,MALE,20,NONFATAL,07/03/2011 12:00:00 AM,JUL,013000,1,SUN,31105661,07/03/2011 01:30:00 AM,DISTRICT 3,45211
4,DX,37.7968783903993,-89.3174736578326,,1197,41006936,1,"CINC, OH 45225",BLACK,MALE,22,NONFATAL,10/31/2010 12:00:00 AM,OCT,,N/A,SUN,41006936,10/31/2010 12:00:00 AM,DISTRICT 4,45052
5,14XX GROESBECK RD,39.1944234430905,-84.5433990616274,COLLEGE HILL,793,50907163,1,,BLACK,MALE,19,NONFATAL,11/29/2009 12:00:00 AM,NOV,,N/A,SUN,50907163,11/29/2009 12:00:00 AM,DISTRICT 5,45224
1,7XX DERRICK TURNBOW,39.1108028464545,-84.5271436653099,WEST END,1322,11100944,1,"CINC., OH 45204",BLACK,FEMALE,33,NONFATAL,03/14/2011 12:00:00 AM,MAR,172500,17,MON,11100944,03/14/2011 05:25:00 PM,DISTRICT 1,45214
3,26XX HARRISON AV,39.1415809430482,-84.5865432447265,WESTWOOD,2826,149029615,1,"CINTI, OH 45211",BLACK,MALE,22,NONFATAL,11/20/2014 12:00:00 AM,NOV,140000,14,THU,149029615,11/20/2014 02:00:00 PM,DISTRICT 3,45211
1,17XX VINE ST,39.1142649415239,-84.5169683228941,OVER-THE-RHINE,2386,139025693,1,"CINCINNATI, OH 45240",BLACK,MALE,26,NONFATAL,09/21/2013 12:00:00 AM,SEP,183900,18,SAT,139025693,09/21/2013 06:39:00 PM,DISTRICT 1,45202
5,51XX KIRBY AV,39.1859520246555,-84.5579395133031,COLLEGE HILL,18,50800322,1,,BLACK,MALE,19,NONFATAL,01/16/2008 12:00:00 AM,JAN,,N/A,WED,50800322,01/16/2008 12:00:00 AM,DISTRICT 5,45223
3,16XX ILIFF ST,39.118641357037,-84.5799446953824,WEST PRICE HILL,1238,31012333,1,"CINC, OH 45205",BLACK,MALE,31,FATAL,12/09/2010 12:00:00 AM,DEC,,N/A,THU,31012333,12/09/2010 12:00:00 AM,DISTRICT 3,45205
4,6XX ROCKDALE AV,39.1447910029055,-84.4929366800361,AVONDALE,3607,169020729,1,"CINCINNATI, OH 45214",BLACK,FEMALE,18,NONFATAL,08/14/2016 12:00:00 AM,AUG,003000,0,SUN,169020729,08/14/2016 12:30:00 AM,DISTRICT 4,
4,23XX KEMPER LN,39.1253255558705,-84.4885041008865,WALNUT HILLS,581,40903552,1,,BLACK,MALE,29,NONFATAL,05/28/2009 12:00:00 AM,MAY,,N/A,THU,40903552,05/28/2009 12:00:00 AM,DISTRICT 4,45206
3,29XX FELTZ AV,39.1533602494226,-84.5944856886566,WESTWOOD,3109,159017710,2,"CINCINNATI, OH 45211",BLACK,MALE,20,FATAL,07/08/2015 12:00:00 AM,JUL,200000,20,WED,159017710,07/08/2015 08:00:00 PM,DISTRICT 3,45211
2,35XX MONTGOMERY AV,39.1432288487277,-84.4701573789892,EVANSTON,2092,139002747,1,"CINC, OH 45206",BLACK,MALE,29,NONFATAL,01/29/2013 12:00:00 AM,JAN,195800,19,TUE,139002747,01/29/2013 07:58:00 PM,DISTRICT 2,45207
C,6XX RACE ST,39.1030780340588,-84.51504248307,CBD/RIVERFRONT,2624,149012006,2,"CINCINNATI, OH 45214",BLACK,MALE,19,NONFATAL,05/24/2014 12:00:00 AM,MAY,025000,2,SAT,149012006,05/24/2014 02:50:00 AM,CENTRAL BUSINESS SECTION,45202
4,17XX PORTMAN AV,39.1793445612804,-84.4633031468531,BOND HILL,3186,159023762,1,,BLACK,MALE,115,NONFATAL,09/01/2015 12:00:00 AM,SEP,223000,22,TUE,159023762,09/01/2015 10:30:00 PM,DISTRICT 4,45237
3,36XX W 8TH ST,39.1061697308174,-84.5722964633135,EAST PRICE HILL,2796,149026618,1,"CINCINNATI, OH 45205",BLACK,MALE,25,NONFATAL,10/19/2014 12:00:00 AM,OCT,002000,0,SUN,149026618,10/19/2014 12:20:00 AM,DISTRICT 3,45205
4,76XX READING RD,39.1989696563863,-84.4566182006327,ROSELAWN,662,40905305,1,,BLACK,MALE,26,NONFATAL,08/01/2009 12:00:00 AM,AUG,,N/A,SAT,40905305,08/01/2009 12:00:00 AM,DISTRICT 4,45237
2,62XX DESMOND ST,39.1625418478499,-84.3888368234782,MADISONVILLE,1695,129000157,1,"CINC, OH 45227",BLACK,MALE,29,NONFATAL,01/02/2012 12:00:00 AM,JAN,140000,14,MON,129000157,01/02/2012 02:00:00 PM,DISTRICT 2,45227
2,15XX ST LEGER PL,39.1380953461568,-84.4757989984328,EVANSTON,1514,21103273,1,"CINC, OH 45203",BLACK,MALE,33,NONFATAL,07/30/2011 12:00:00 AM,JUL,235000,23,SAT,21103273,07/30/2011 11:50:00 PM,DISTRICT 2,45207
4,DX,37.7967383903993,-89.3167436578326,,1227,41007621,1,"CINC, OH 45229",BLACK,MALE,23,NONFATAL,11/28/2010 12:00:00 AM,NOV,,N/A,SUN,41007621,11/28/2010 12:00:00 AM,DISTRICT 4,45052
